keyword,count
U-Net,17
Deep learning,11
deep learning,10
U-net,8
Deep Learning,7
딥러닝,6
CNN,5
Segmentation,4
합성곱 신경망,4
GAN,3
Semantic Segmentation,3
AI,3
인공지능,2
Object Detection,2
DICOM,2
AlexNet,2
multiple sclerosis lesion,2
UAV,2
XAI,2
Autoencoder,2
Attention U-Net,2
Information security,2
Image steganography,2
Dilated convolution,2
Artificial Intelligence,2
-,2
deep-learning,2
semantic segmentation,2
Public safety net,1
Fiduciary duties of banks and broker-dealer,1
Financial Crisis in 1997,1
Urinary Stone,1
Big Data,1
Bank Holding Company Act of 1956,1
Bank of England in 1694,1
Venice,1
Flask,1
corporate governance regulation,1
separation of ownership and control,1
the separation of banking and commerce,1
2010년 GLB Act(Gramm- Leach-Bliley Act),1
Model Serving,1
flexible printed circuit board,1
요로결석,1
India,1
Synthetic computed tomography,1
Cervical cancer,1
Compost,1
Auto-encoder,1
No-fault Liability,1
Absolute Liability,1
Strict Liability,1
Torts,1
무과실책임,1
의료용 디지털 영상 및 통신,1
절대책임,1
엄격책임,1
불법행위,1
인도,1
surface mount technology,1
defect inspection,1
플라스크,1
모델 서빙,1
은행과 증권사의 신인의무,1
회사법상 소유와 지배의 분리원칙,1
예금보험제도,1
DP-LinkNet,1
Vehicle Damage Detection,1
Computer Vision,1
YOLOv4,1
Doi Moi Policy,1
Nordpolitik,1
Cognitive Dissonance,1
Recognition,1
Normalization of Korea-Vietnam,1
도이머이,1
북방정책,1
인지부조화,1
인정,1
한국-베트남 수교,1
재량통제,1
행정입법,1
조용한 쉐브론,1
쉐브론 원칙,1
망 중립성,1
Discretionary Control,1
Adminstrative Rule-making,1
Silent Chevron,1
Degraded document image binarization,1
encoder-decoder architecture,1
1982년 은행법 개정,1
hybrid dilated convolution,1
1961년 금융기관에 대한 임시조치법,1
1997년 외환위기,1
1956년 은행지주회사법,1
1694년의 영란은행,1
베니스,1
Intracavitary radiotherapy,1
금산분리,1
an unmanned aerial vehicle,1
Ecosystem monitoring,1
The tidal flat,1
Cohort Effect,1
Period Effect,1
Age Effect,1
War threaten,1
