keyword,count
GaN,4
Deep learning,4
CNN,3
Hidden Markov Model,2
SRGAN,2
back propagation neural network,2
genetic algorithm,2
fuzzy information granulation,2
unloading rock slope,2
Phase separation,2
V-pit,2
Molecular beam epitaxy,2
AlGaN/GaN,2
Bayesian Inference,2
displacement prediction,2
Generative Adversarial Networks,2
Deep Learning,2
group scheme,1
초고해상도 영상 복원,1
대한독립선언서,1
11E57,1
11E39,1
20G25,1
Naval combat system,1
SISR,1
Twin-screw pump,1
mass formula,1
Fatigue reliability design,1
14L15,1
Driving shaft design,1
Response surface methodology,1
local density,1
11E95,1
11E41,1
함정전투체계,1
smooth integral model,1
Fatigue life,1
Super-resolution,1
생성적 적대 신경망,1
아간,1
Gao-xing,1
mental victory method,1
the diaosi narrative,1
the bottom narrative,1
wulitou,1
shan-zhai,1
"a new year""s film",1
mainstream culture,1
자핑와,1
아큐,1
딥 러닝,1
가오싱,1
정신승리법,1
땨오쓰서사,1
저층서사,1
모레이터우,1
산자이,1
하세편,1
한(韓),1
주선율,1
대종교,1
kanate,1
국호,1
한사상,1
restoration,1
Semiconductor,1
spectroscopy,1
cathodoluminescence,1
autocorrelation function,1
SEM,1
nano-optics,1
「부도지」,1
박제상,1
한국선도,1
천부,1
대한제국,1
률려,1
복본,1
『BuDoJi』,1
Park Jae-Sang,1
Korean Sundo,1
Hanism,1
符都誌,1
朴堤上,1
天符,1
律呂,1
depth camera,1
depth image,1
generative adversarial network,1
Atom probe tomography,1
한국,1
Title of nation,1
big,1
Ah-gan,1
‘Han’,1
‘Khan’,1
Superalloy,1
Creep,1
Microstructure,1
Residual stress,1
Neutron diff raction,1
Tension,1
SiC,1
Semi-insulating,1
V doping,1
Physical vapor transport,1
Crystal growth,1
Light emitting diode (LED),1
InGaN,1
Non-polar,1
Electron holography,1
Ah-Q,1
face morphing,1
Jia Ping-wa,1
Power Amplifier,1
Schottky barrier,1
Ga vacancy,1
X-ray photoemission spectroscopy,1
AlGaN/GaN HEMTs,1
Effective mobility,1
Low-frequency noise and carrier number fluctuation model,1
Mobility degradation factors,1
Series resistance,1
GaN HEMT,1
Internally Matched,1
Ag/ITO,1
S-Band,1
Harmonic Tuning,1
Tunneling current,1
Dislocation density,1
Bone regeneration,1
Herb extract,1
Danshen,1
Ge Gan,1
Rat calvaria defect,1
Transparency,1
Low-frequency noise,1
Interface state density,1
추천행동,1
satellite image,1
SAR,1
KOMPSAT-5,1
Colorization,1
Satellite Image Processing,1
고객만족,1
고객추천,1
추천의향,1
NPS,1
시장 지분,1
Current-voltage characteristics,1
Maximum Likelihood Estimation,1
인공지능망(DNN,1
GAN),1
Customer Satisfaction,1
Customer Referral,1
Net Promoter Score,1
Viterbi Algorithm,1
Permalloy,1
Schottky contact,1
Atomic layer deposited AlN,1
Reverse leakage current,1
Mosaic tilt,1
generative adversarial networks.,1
Weimin(for the people),1
Pattern recognition,1
Histogram,1
Deep face,1
연무제거,1
깊이지도 추정,1
생성적 대립쌍 신경망,1
dehaze,1
depth estimation,1
대립쌍 기계학습,1
Chineseness,1
얼굴합성,1
합성곱 신경망,1
비지도 학습,1
Generative adversarial network,1
DCGAN,1
dCNN,1
unsupervised learning,1
HRXRD,1
Graded barrier,1
Minbenzhuyi (people-oriented doctrine),1
Chinese political model,1
Ag nanostructures,1
Sketch Retrieval,1
Solid-state-dewetting,1
Deposition amount,1
Temperature variation,1
HEMT,1
Transconductance,1
Threshold voltage,1
Temperature model,1
Cut-off frequency,1
Information Retrieval,1
Fashion Technique,1
China’s New Left,1
딥러닝,1
정보 검색,1
스케치 검색,1
패션 기술,1
중국 신좌파,1
중국정치모델,1
중화성,1
민본주의,1
위민,1
複本,1
