keyword,count
YOLO,5
Yolo,3
Object detection,3
욜로,3
Pig Monitoring,1
다중이용시설,1
lifestyle,1
jara home,1
ikea,1
interior,1
furnishing,1
home,1
Open CV,1
Haar Cascade,1
Yolo v5s,1
객체인식,1
딥러닝,1
hanssem,1
출판 트렌드,1
소비 트렌드,1
리커버 북,1
표지디자인,1
publishing trend,1
consumption trend,1
re-covered book,1
Cover design,1
Convolutional Neural Network,1
Kinect Depth Information,1
Individual Pig Detection,1
컨볼루션 신경망,1
yolo,1
infrared small target detection,1
livart,1
개별 돼지 탐지,1
YOLOv3,1
Target tracking,1
UAV,1
Deep learning,1
Surveillance camera.,1
Deep convolutional neural network,1
Machine learning,1
Computer vision,1
Parking lot management,1
deep convolutional neural network,1
감시 카메라,1
기계 학습,1
컴퓨터 비전,1
물체 감지,1
주차장 관리,1
Emergency notification system,1
Smart care system,1
elder person,1
Object tracking,1
classification,1
region proposal,1
deep learning,1
infrared small drone detection,1
키넥트 깊이정보,1
Embedded Ssytem,1
Unmanned Surface Vehicle,1
Generation,1
Well-Being Lifestyle,1
Memoir of a Murderer,1
interactive text,1
curation,1
Narrative of Oblivion,1
Murdering,1
큐레이션,1
망각 서사,1
살인자의 기억법,1
Discourse analysis,1
Mapping,1
Lifestyle,1
Hanja,1
Youth,1
ext network analysis,1
신문기사 분석.,1
담론분석,1
문화예술,1
라이프스타일,1
청년세대,1
욜로(YOLO),1
텍스트 네트워크 분석,1
Convolution Neural Network,1
Segmentation,1
Consumption Value,1
object detection,1
Touching Pigs,1
YOLOv2,1
Marine Surveillance System,1
Jellyfish Detection,1
무인선,1
임베디드시스템,1
원격해양감시시스템,1
해파리검출,1
Autism,1
Wearable Technology,1
Development,1
Design,1
Object Detection,1
Darknet,1
OCR (optical character recognition),1
Deep Learning,1
Vehicle Detection,1
미디어,1
소비,1
여행,1
빅데이터,1
Consume,1
Travel,1
Broadcasting,1
Big data,1
deep neural network,1
Kalman filter,1
