keyword,count
Deep Learning,334
Deep learning,271
딥러닝,214
deep learning,167
CNN,92
인공지능,63
Machine Learning,54
LSTM,51
Machine learning,48
Artificial Intelligence,45
Artificial intelligence,41
Object Detection,35
Convolutional Neural Network,27
machine learning,27
Convolutional neural network,25
Classification,25
딥 러닝,24
AI,24
합성곱 신경망,20
머신러닝,19
빅데이터,18
Big Data,17
YOLO,17
convolutional neural network,17
Object detection,16
artificial intelligence,16
Big data,15
Deep-learning,15
Convolutional Neural Networks,14
기계학습,14
Deep Learning(딥러닝),14
IoT,14
Deep neural network,14
DNN,13
Reinforcement Learning,12
GAN,12
.,12
Deep reinforcement learning,11
BERT,11
object detection,11
Segmentation,11
심층신경망,11
Image Processing,11
Deep Neural Network,10
Artificial Neural Network,10
COVID-19,10
RNN,10
Computer Vision,10
심층학습,10
Convolution Neural Network,10
Text Mining,10
deep neural network,10
U-Net,10
Transfer Learning,9
인공신경망,9
Deep learning(딥러닝),9
Transfer learning,9
convolutional neural networks,9
ResNet,8
Faster R-CNN,8
Image Classification,8
Deep-Learning,8
심층 신경망,8
Tensorflow,8
Image classification,8
강화학습,8
Drone,7
Autoencoder,7
알고리즘,7
객체 검출,7
Neural Network,7
transfer learning,7
오토인코더,7
합성곱신경망,7
Prediction,7
Computed tomography,7
기계 학습,7
Semantic Segmentation,7
recurrent neural network,7
YOLOv2,7
deep reinforcement learning,7
Reinforcement learning,7
Feature Selection,7
Convolution neural network,7
Image processing,7
reinforcement learning,7
deep-learning,6
GRU,6
Convolutional neural networks,6
Keras,6
자연어처리,6
Face Recognition,6
사물인터넷,6
natural language processing,6
Semantic segmentation,6
MLP,6
Deep Reinforcement Learning,6
classification,6
prediction,5
Medical Imaging,5
image processing,5
Generative Adversarial Network,5
Internet of Things,5
신경망,5
UAV,5
Computer vision,5
CCTV,5
Ensemble,5
deep neural networks,5
Neural network,5
영상처리,5
Recommendation,5
Unsupervised Learning,5
DQN,5
Convolutional Neural Network(합성곱 신경망),5
Anomaly Detection,5
AutoEncoder,5
딥러닝(Deep Learning),5
Regularization,4
Digital pathology,4
추천시스템,4
Long short-term memory,4
Recurrent neural network,4
neural network,4
NLP,4
순환신경망,4
무인항공기,4
객체 탐지,4
Behavior Recognition,4
텍스트마이닝,4
전이 학습,4
SSD-Mobilenet,4
Collaborative filtering,4
Natural Language Processing,4
Visualization,4
Super-Resolution,4
I3D,4
CNN-LSTM,4
Support Vector Machine,4
ARIMA,4
Random Forest,4
smart farm,4
4th Industrial Revolution,4
Underwater acoustics,4
Signal processing,4
Data augmentation,4
감성분석,4
VGG16,4
Crack Detection,4
심층 학습,4
인공 지능,4
Deep Q-Network,4
License Plate Recognition,4
Batch Normalization,4
AlexNet,4
인공 신경망,4
추천 시스템,4
Neural networks,4
4차 산업혁명,4
트랜스포머,4
예측 시스템,4
support vector machine,3
텍스트 마이닝,3
Image segmentation,3
Animal Face Classification,3
Change Detection,3
Depth Camera,3
Artificial Neural Networks,3
자연어 처리,3
Water quality,3
Gesture Recognition,3
clustering,3
Algorithm,3
Text mining,3
XAI,3
PoseNet,3
설명 가능한 인공지능,3
Visual Navigation,3
convolution,3
grasping,3
Action Recognition,3
image classification,3
Defect detection,3
China,3
Support vector machine,3
Exponential Linear Unit,3
텐서플로우,3
예측,3
Artificial neural network,3
콘볼루션 신경망,3
Reinforcement Learning(강화학습),3
Depth,3
Deep belief network,3
Attention,3
랜덤 포레스트,3
Augmented Reality,3
Instance Segmentation,3
Smart Factory,3
Gas leak detection,3
Side-Channel Analysis,3
MATLAB,3
Point Cloud,3
Gait Recognition,3
algorithm,3
Object Tracking,3
Feature extraction,3
SLAM,3
domain adaptation,3
Statistical analysis,3
BIM,3
Natural language processing,3
회귀분석,3
Word2vec,3
Multi-task learning,3
패턴,3
Recommender System,3
앙상블,3
artificial neural networks,3
Image Recognition,3
deep learning model,3
OpenCV,3
클러스터링,3
BiLSTM,3
3D CNN,3
Fully convolutional Network,3
patterns,3
word embedding,3
딥러닝(deep learning),3
Fire Detection,3
시계열 예측,3
Preprocessing,3
Autonomous Vehicle,3
recommender system,3
ROS,3
Denoising,3
Pneumonia,3
Face Detection,3
균열 탐지,3
rain removal,3
SNS,3
임베딩,3
미술교육,3
심층강화학습,3
YOLOv3,3
Hybrid recommendation algorithm,3
data augmentation,3
Cyber Security,3
K-Means,3
Environmental sound classification,3
머신 러닝,3
depth estimation,3
ANN,3
드론,3
SVM,3
Computer neural networks,3
데이터 분석,3
Artificial Intelligent,3
딥러닝 알고리즘,3
Nursing,3
TensorFlow,3
Attention Mechanism,3
의미론적 분할,3
컨볼루션 신경망,3
semi-supervised learning,3
영상 처리,3
Emotion,3
big data,3
Convolutional Neural Network(CNN),3
embedding,3
공정이용,3
Radiography,3
5G,3
Dropout,3
OCR,3
Binarization,3
autoencoder,3
이상 탐지,3
long short-term memory,3
Image analysis,3
Collaborative Filtering,3
convolution neural network,3
Sentiment Analysis,3
Landsat 8,2
Optical Character Recognition (OCR),2
Offshore,2
