keyword,count
엣지 디바이스,2
행동 인식,2
안전관리,2
간섭무늬(Fringe pattern),2
YOLO 알고리즘,2
Image matching,2
수어,2
이미지 생성,2
Time Series Data,2
OCR,2
딥러닝 (Deep learning),2
Image segmentation,2
Machine Learning(머신러닝,2
비손상 복원성,2
Generative Model,2
Tool condition,2
의미적 분할,2
폭염 위험지수,2
CSI,2
지역앙상블예측시스템,2
Pneumonia detection,2
Generative model,2
파이썬,2
Gap-filling,2
에어로졸,2
AOD,2
GEMS,2
Climate change,2
People counting,2
전운량,2
ACOS,2
Motion Recognition,2
Synthetic Data(가상데이터),2
Swin 모델,2
YOLOv8 모델,2
Object Detection(객체탐지),2
열화상 카메라,2
Steganography,2
넙치 질병,2
Deblurring,2
Ostia,2
특허,2
빅데이터 분석,2
Image Deep Learning,2
data imbalance,2
Thermal imaging,2
Neural network,2
적대적 공격,2
객체 분류,2
3DMM,2
디지털트윈,2
Diffusion model,2
GPS,2
Fast R-CNN,2
Speech Recognition,2
Bigdata,2
Text-to-Image,2
전자의무기록,2
MIMO,2
Smart Farm,2
스마트팜,2
Fine-tuning,2
YOLOv4,2
Template matching,2
artificial intelligence (AI),2
Mobile Robot,2
UAV(무인항공기),2
Recycling,2
Diagnosis,2
ELECTRA,2
MobileNetV3,2
모바일넷,2
SNS,2
smart factory,2
gprMax,2
자기지도학습,2
Intrusion Detection,2
Domain adaptation(도메인 적응),2
Face Mesh,2
인공지능(Artificial Intelligence),2
YOLO v8,2
K-means clustering,2
PointNet,2
DnCNN,2
의사결정지원,2
Inverse Perspective Mapping,2
다중입출력,2
G-Pipe,2
EfficientNet,2
Pothole,2
이상탐지,2
티처블 머신,2
CLAHE,2
제품디자인,2
스마트팩토리,2
Fire detection,2
자세 분류,2
소셜 미디어,2
FarmMap,2
Bilinear interpolation,2
Transformer(트랜스포머),2
Bicubic interpolation,2
Data-driven Model,2
Real-time monitoring,2
prediction,2
multi-sensor,2
Al/Cu laser welding,2
deep  learning,2
Camera,2
Linear Regression,2
Recurrent neural network,2
스포츠,2
Image,2
초분광 영상 기술,2
이상 탐지(Anomaly Detection),2
안테나 선택,2
CNN(Convolution Neural Network),2
Sports,2
Mel-Spectrogram,2
안테나 다이버시티,2
센서 데이터,2
Species classification,2
sensor data,2
Emotion classification,2
Pinus densiflora Siebold & Zucc,2
unsupervised learning,2
ResNet34,2
기후변동,2
결함 탐지,2
계절예측,2
소형 선박,2
Object Detection(객체 검출),2
image rotation,2
MJO,2
Stacked RNN,2
Stacked GRU,2
대기-지면 탄소순환,2
Stacked LSTM,2
전복 사고,2
LSTM-Autoencoder,2
Satellite image,2
정책,2
BIA,2
ID classification,2
YOLOv3,2
고속 푸리에 변환,2
Quality of Service,2
트래픽 예측,2
Traffic Prediction,2
PM,2
이미지 분류(image classification),2
Yolo,2
Sensor Fusion(센서융합),2
지면 온도,2
영상품질,2
Credit Scoring,2
MFCC,2
어텐션 메커니즘,2
SMS,2
객체 탐지 모델,2
CNN(합성곱 신경망),2
Computed tomography,2
유지관리,2
Electrocardiogram,2
Maintenance,2
육지 탄소,2
Deep Learing,2
태풍 강도 예측,2
오픈포즈,2
Policy,2
Instance Segmentation,2
Data Analysis,2
Noise2Noise,2
이미지분류,2
지구 시스템 모델,2
가짜뉴스,2
Health Care,2
Depth Estimation(깊이 추정),2
Long-tail Learning,2
ST-GCN,2
ViTPose,2
GPT-3,2
Emotion Analysis,2
감정분석,2
2023/24년 엘니뇨,2
CADx,2
Reinforcement learning,2
DenseNet,2
FMCW 레이더,2
고령자,2
Contrastive learning,2
Self-supervised learning,2
Al alloy,2
Elderly,2
Prompt Engineering,2
CCD camera,2
Convolutional neural network(합성곱 신경망),2
IR camera,2
스마트 센서,2
시멘틱 세그멘테이션,2
Chest X-ray,2
Monocular Camera(단안 카메라),2
Visually Impaired,2
의미론적 영상 분할,2
Transformer learning,2
Gated Recurrent Unit,2
음성 인식,2
MTF,2
균열 탐지,2
엘니뇨 지수 예측,2
해양 이산화탄소 분압,2
Clustering,2
Reinforcement Learning,2
Automatic Classification,2
Point cloud,2
자동 분류,2
딥러닝 기후 예측 모델,2
Human activity recognition,2
VSLAM,2
Sentinel-1,2
Attention LSTM,2
Synthetic aperture radar,2
위성관측영상,2
TDoA,2
딥러닝 기반 자료 융합,2
Localization,2
OpenDRIVE,2
CARLA,2
Text Detection,2
Covid-19,2
Defect Detection,2
Active seniors,2
Visibility,2
Image registration,2
Optic image,2
영상 정합,2
데이터 증강 기법,2
감정 인식,2
GeoKBQA,2
Optical character recognition,2
R-CNN,2
Toe strength,2
Force steadiness,2
Long Short-Term Memory,2
Accelerometer,2
OpenSCENARIO,2
safety management,2
자율주행 자동차,2
RMSE,2
healthcare,2
실시간 객체 탐지,2
Depth estimation,2
동시적 위치추정 및 지도 작성,2
학습데이터,2
품종 분류,2
Speech Emotion Recognition,2
Risk Factors,2
Overhead Hoist Transport,2
spectrogram,2
단어 임베딩,2
말뭉치,2
PM2.5,2
Recurrent Neural Network (RNN),2
Object detection(객체인식),2
국악,2
수확량 예측,2
accountability,2
Pose Estimation,2
Convolutional Neural Networks,2
이육사,2
Pattern Recognition,2
대화형 인공지능,2
Risk prediction,2
Q-learning,2
CO₂(이산화탄소),2
Light-Duty Vehicle(소형자동차),2
SSIM,2
VGG16,2
Deep learning(딥 러닝),2
KoGPT-2,2
Motor(모터),2
Scanning electron microscopy,2
Optical flow,2
용수공급시스템,2
패턴 인식,2
Drone Image,2
Loss function,2
GANs,2
하이퍼파라미터,2
Attention mechanism,2
lstm,2
낙상,2
Anomaly analysis,2
/SUB&gt,2
Emotion recognition,2
ResNet-50,2
Computer Vision(컴퓨터비전),2
KeyBERT,2
Social Network Analysis,2
BERTopic,2
detection,2
parallel model,2
Defect inspection,2
단시간 푸리에 변환,2
디지털 이미지,2
PM&lt,2
DeeplabV3+,2
차별,2
SUB&gt,2
Recommendation system,2
Recognition(객체인식),2
Crack detection,2
정치 성향,2
사전학습 언어 모델,2
Feature Extraction,2
Support Vector Machine,2
농경지 토양,2
eXplainable Artificial Intelligence (XAI),2
토성 분류,2
오염,2
MATLAB,2
특이값 분해,2
deep learning model,2
RGB-D,2
SuperPoint,2
Off-road(오프로드),2
클라우드 컴퓨팅,2
암호화폐,2
Deep Learning Model,2
박락,2
Processing-in-Memory (PIM),2
Contamination,2
DBSCAN,2
