keyword,count
GRU,27
LSTM,16
딥러닝,6
Deep Learning,6
Deep learning,5
CNN,4
Gated Recurrent Unit,4
deep learning,3
Time Series,3
YOLOv8,3
Bidirectional gated recurrent unit,2
분류,2
Price Prediction,2
시계열,2
kNN,2
Classification,2
GridCV,2
Incremental Capacity Analysis,2
3D-CNN,2
ResNet50,2
Leak flow rate,2
Attention mechanism,2
Anomaly Detection,2
Attention Mechanism,2
가격 예측,2
머신러닝,2
Moving Average,2
Machine Learning,2
게이트 순환 유닛,2
Loss-of-coolant accidents,2
Stacked SARIMAX-GRU,2
MLP,2
TF-IDF,2
.,2
시계열 예측,2
Computer Vision,2
Autism Spectrum Disorder(ASD),2
SARIMAX,2
Smart Home,1
EEG,1
어텐션 메커니즘,1
uncontrolled,1
활성화 함수,1
예측 모델링,1
Upright standing posture,1
Machine learning · CNN · ARIMA · GRU · Energy storage devices · Li-ion batteries,1
비정상 탐지,1
AI (artificial intelligence),1
Motion prediction,1
early diagnosis,1
Significant wave,1
Wave prediction,1
Machine learning,1
Oceanographic buoy data,1
CAN,1
Gated recurrent unit,1
growth prediction of emerging commercial areas,1
Korea waters,1
asymmetry,1
realized volatility,1
normalization,1
stereotyped behavior,1
화성 기상 예측,1
시계열 데이터 분석,1
Energy-Saving,1
농산물,1
Temperature Control,1
Agricultural Products,1
Gated Recurrent Unit (GRU),1
이상 상태 탐지,1
시계열 분류,1
계층적 기계학습,1
Internet of Things (IoT),1
violence detection,1
video processing,1
deep transfer learning,1
Time series classifier,1
Hierarchical machine learning,1
계층적 모델,1
앙상블 기법,1
국가과학기술표준분류체계,1
Hierarchical Model,1
Mars Weather Prediction,1
Ensemble Technique,1
Time-Series Analysis,1
National Science and Technology Standard Classification System,1
Activation Functions,1
Early diagnosis,1
Stereotyped behavior,1
Predictive Modeling,1
Anomaly detection,1
Artificial intelligence model,1
ratio transformation,1
SVM,1
지역내총생산,1
Occupants Information,1
Prediction Model,1
Indoor Air Quality,1
재실자 정보,1
예측모델,1
실내 공기질,1
KNN,1
Obesity,1
Word embedding,1
TF–IDF,1
Natural language processing,1
Text classification,1
Behavior,1
Identity,1
3D skeleton,1
게이트순환유닛,1
자기회귀 혼합데이터샘플링모형,1
장단기기억,1
AutoRegressive Mixed Data Sampling Model,1
Bidirectional gated recurrent units,1
Multi-fusion deep learning model,1
Photovoltaic power forecasting,1
Transformation,1
Korean wheat cultivars,1
GUS staining,1
Agrobacterium,1
Price Prediction Model,1
Artificial Intelligence,1
Livestock Products,1
가격 예측 모델,1
인공지능,1
물가,1
Long Short Term Memory,1
Gross Regional Domestic Product,1
Egocentric,1
On-Device AI,1
recurrent neural network,1
