title,date,keywords,abstract,multilingual_abstract
무역수출 라이브지수를 활용한 중소수출기업 발굴 연구,2019,"['Export KPI', 'Comprehensive Live Index', 'Small or Medium Sized Business', 'Approval of Purchase', 'Local L/C', '수출지수', '종합 라이브지수', '중소기업', '구매확인서', '내국신용장']","무역수출 분야에서 수출 지수에 관한 논의는 수차례 있었으나 객관적 지표로 설명할 수 있는 명확한 무역수출 지수는 없다. 한국무역협회(KITA), 대한무역투자진흥공사(KOTRA) 등에서 지표를 만들고자 하는 시도를 하고 있으나 수출기업의 역량을 표현할 수 있는 방법에 대하여 현재 계속 고민 중이다. 이에 본 연구는 기업의 규모, 신용도와 같은 공시지표와 거래고객수, 거래횟수, 상품개수, 거래량, 거래기간 등의 활동지표를 feature로 설정하여 인공지능 학습 데이터 셋을 구축하고, 딥러닝 알고리즘에서 Lightgbm을 이용하여 수출 가능 기업에 대한 분류 모델을 제시한다. 또한 기업이 속한 산업 군집 분류 모델로 Graph Neural Network을 사용하여 기업간, 품목간, 사업군에서의 수출 가능 역량을 표현하는 수출 Live지수를 산출하였으며 이는 지수를 산출하는 현재로부터 기업의 과거 활동을 포함함으로써 객관성을 확보하였다.",
수문학적 활용을 위한 머신러닝 기반의 강우보정기술 개발,2019,"['Heavy rainfall', 'Machine learning', 'Rainfall correction', 'LightGBM', 'XGBoost']",,"For the purposes of enhancing usability of Numerical Weather Prediction (NWP), the quantitative precipitation prediction scheme by machine learning has been proposed. In this study, heavy rainfall was corrected for by utilizing rainfall predictors from LENS and Radar from 2017 to 2018, as well as machine learning tools LightGBM and XGBoost. The results were analyzed using Mean Absolute Error (MAE), Normalized Peak Error (NPE), and Peak Timing Error (PTE) for rainfall corrected through machine learning. Machine learning results (i.e. using LightGBM and XGBoost) showed improvements in the overall correction of rainfall and maximum rainfall compared to LENS. For example, the MAE of case 5 was found to be 24.252 using LENS, 11.564 using LightGBM, and 11.693 using XGBoost, showing excellent error improvement in machine learning results. This rainfall correction technique can provide hydrologically meaningful rainfall information such as predictions of flooding. Future research on the interpretation of various hydrologic processes using machine learning is necessary."
