keywords
"#CNN, #DL Model, #Training and Validation Data, #DSM Classification, #합성곱 신경망, #딥러닝 모델, #학습 및 검증 데이터, #수치표면모델 분류"
"#바퀴식 주행로봇, #경로 찾기, #딥강화학습, #딥러닝, #자율주행로봇, #Wheeled Mobile Robot, #Path Finding, #Deep Reinforcement Learning, #Deep Learning, #Autonomous Driving Robot"
"#분류, #감성어휘, #병원, #실내이미지, #딥러닝, #Classification, #Emotional adjective, #Hospital, #Indoor image, #Deep learning"
"#Instance segmentation, #Deep learning, #Slope failure image, #Ground characteristics of Slope, #딥러닝, #비탈면 붕괴영상, #비탈면 지반특성"
"#PM
10
Deep Learning, #Satellite Image, #Sensor Data, #Spatiotemporal Resolution, #딥러닝, #위성 영상, #센서 데이터, #시공간 해상도"
"#건설 데이터세트, #건설 데이터베이스, #딥러닝, #파사드, #자동 레이블링, #Construction Dataset, #Construction Database, #Deep Learning, #Facade, #Automatic Image Labeling"
"#자동하역장치, #딥러닝 알고리즘, #YOLO v2, #Masked R-CNN, #Unloading system, #deep learning algorithm"
"#최적 파라미터, #딥 러닝, #심실 조기 수축, #QRS, #RR 간격, #Optimal parameter, #Deep learning, #Premature ventricular contraction, #RR interval"
"#sentiment analysis, #deep learning, #Shakespeare, #tweeter data"
"#advanced metering infrastructure, #deep neural network, #load data, #load forecasting, #k-means clustering, #meter reading"
"#AWS, #Cloud Computing Service, #Deep Learning, #Streaming server, #YOLO"
"#Disaster prevention system 방재 시스템, #Artificial intelligence 인공지능, #Deep learning 딥러닝, #Big data 빅데이터"
"#Deep learning, #deep learning neural network, #convolutional neural network, #object detection, #image classification"
"#Deep learning, #Bermuda option, #Neural network approximation, #Regression, #Convergence"
""
""
""
"#콘크리트 균열, #균열 검출, #딥러닝, #영상처리, #합성곱신경망, #Concrete Crack, #Crack Detection, #Deep Learning, #Image Processing, #CNN"
"#대피로 안내, #딥러닝, #센서, #화재 재난, #Guide to evacuation, #Deep Learning, #Sensor, #Fire disaster"
""
""
""
"#Computer Vision, #Deep Learning, #Companion Animal"
"#Thermal camera, #Infrared, #Deep learning, #CNN, #YOLO"
""
""
""
""
""
""
""
""
""
"#Deep Learning(딥러닝), #Neural Networks(신경망), #Hyperparameter Optimization(하이퍼파라미터 최적화), #NOx(질소산화물), #Diesel Engine(디젤 엔진)"
"#UAVs(무인 항공기), #Situation Awareness(상황 인지), #Deep Learning(딥러닝), #CNN"
"#Cubesat (큐브위성), #On-board Computer (온보드컴퓨터), #Deep Learning (딥러닝), #Inference (추론)"
"#계산과학공학, #시뮬레이션, #플랫폼, #고성능 컴퓨팅, #딥러닝, #머신러닝"
""
""
""
""
""
""
"#Drone, #Occlusion Area, #Deep Learning, #Image, #Detection"
""
""
"#Deep Learning, #Object Detection, #Distance Estimation, #Monocular Camera"
"#Convolutional Neural Network(콘볼루셔널 신경망), #Deep Artificial Neural Network(심층 인공 신경망), #Crater Detection(크레이터 감지), #Crater Recognition(크레이터 인식), #Object Detection(객체 감지), #Classification and Regression(분류 회귀), #Segmentation(분할)"
"#Deep learning(딥러닝), #HVAC(공조), #Human-Machine Interaction(HMI), #Pesonalization(개인화), #Recommendation system(추천 시스템)"
"#인공지능(AI), #딥러닝(Deep Learning), #산업인공지능(Industrial AI), #기계인공지능(AI for ME)"
""
"#Easterly wind, #Deep neural network, #Convolution neural network, #Long short-term memory, #Deep learning"
"#Video Forensic, #Double Compression Detection, #HEVC, #Picture Partitioning, #Deep Learning"
"#Deep learning, #CNN, #SAE, #RNN, #Mining industry, #딥러닝, #합성곱 신경망, #누적형 자동인코더, #순환 신경망, #광업"
""
""
"#감성어휘, #배색, #이미지 분류, #이미지넷, #딥러닝, #Emotional Adjective, #Colors Palettes, #Image classification, #ImageNet, #Deep learning"
"#배관계장도, #P&ID, #딥러닝, #도면 인식"
"#Autonomous(자율주행), #Vehicle(자동차), #Object detection(물체 탐지), #Stereo-camera(스테레오 카메라), #Stereo-image(스테레오이미지), #Deep learning(딥러닝), #YOLO(You Only Look Once)"
""
""
""
""
""
""
"#Deep Learning(딥러닝), #LiDAR(라이다), #Point Cloud(포인트 클라우드), #Semantic Segmentation(의미론적 분할), #Drivable Space Detection(주행 가능 영역 검출), #Vehicle Detection(차량 검출)"
"#Mass Estimator(질량 추정기), #Deep Learning(딥러닝), #Commercial Vehicle(상용차), #Vehicle Stability(차량 안정성), #Overload(과적)"
"#변압기(Power Transformer), #건전성 데이터(Health Data), #딥러닝(Deep Learning)"
""
""
""
""
""
""
"#딥러닝, #걸음걸이 인식, #지능형 철도 플랫폼, #컴퓨터 비전, #사용자 인식"
"#Deep learning(딥러닝), #Fuel cell electric vehicle(FCEV), #Energy management strategy(에너지분배전략)"
"#Knocking(노킹), #Knock Onset(노킹 발생 시점), #Neural Network(인공 신경망), #Ignition Delay(점화 지연 시간), #Spark-Ignited Engine(가솔린 엔진), #Deep Learning(딥러닝)"
"#딥러닝, #클라우드 컴퓨팅, #모바일 엣지 컴퓨팅, #플랫폼 가상화, #IoT, #지능형 예측, #Deep learning, #Cloud Computing, #MEC, #Platform Virtualization, #IoT, #Intelligent Prediction"
"#artificial neural network, #deep learning, #urban mobility prediction, #vehicle trajetory, #도시 지역 이동성 패턴, #딥러닝, #빅 데이터, #차량 궤적"
""
""
"#Machine Learnig(기계 학습), #Deep Learning(딥 러닝), #Object Detection(객체 검출), #Aerial Image(위성/항공 영상)"
"#Taillight Signal Classification(후미등 신호 분류), #Sequence to Sequence Model(시퀀스 투 시퀀스 모델), #Recurrent Neural Network, #RNN(순환신경망), #C3D Model(C3D 모델), #3D CNN(3D 콘볼루션 뉴럴 네트워크)"
""
""
"#Autonomous Vehicle(자율 주행 자동차), #Deep Learning(딥러닝), #Object Classification(물체 분류), #Clustering(군집화), #LiDAR(라이다)"
"#KOMPSAT -3, #Super resolution, #Deep learning"
"#ADAS (Advanced Driver Assistance System), #RNN (Recurrent Neural Network), #AR (Augmented Reality)"
"#자동변조인식(AMC), #딥러닝, #장단기기억(LSTM), #신경망, #무선통신, #Automatic modulation classification(AMC), #Deep learning, #Long-short term memory(LSTM), #Neural network, #Wireless communication"
""
""
""
""
""
""
""
""
""
""
"#deep learning, #fully convolutional network, #ResNet, #acicular ferrite, #carbon steel, #segmentation"
"#미세먼지, #지하철, #딥러닝, #LSTM, #빅데이터"
""
"#딥러닝, #머신러닝, #기흉, #폐렴, #흉부 x-ray"
"#인공지능, #딥러닝, #EO, #IR, #영상 합성"
""
""
""
""
""
""
""
"#자연어 처리, #감성 분류, #딥러닝, #건물 성능 평가, #LSTMs, #Natural Language Processing, #Sentiment Classification, #Deep Learning, #Building Performance Evaluation, #Long-Short Term Memory Networks（LSTMs)"
"#Machine Learning(기계학습), #Trajectory Prediction(경로예측), #Autonomous Driving(자율주행), #Deep Learning(심층 학습), #Recurrent Neural Network(순환신경망), #Convolutional Network(합성곱신경망)"
""
"#강수타입분류, #딥러닝, #U-net, #마이크로파관측, #학습자료생산 플랫폼"
"#교량 구성요소 자동인식, #딥러닝, #딥러닝 네트워크, #전이학습"
"#모의 달 지형, #달 장애물 지형, #딥러닝 객체 분리 네트워크, #Instance Segmentation"
""
""
"#주차여부인식, #다중 임계치, #보우팅, #전처리, #딥러닝, #Parking Occupation Detection, #Multiple Thresholds Filtering, #Voting, #Pre-Processing, #Deep Learning"
"#택시 수요 예측(Taxi Demand Forecasting), #심층 학습(Deep Learning), #빅데이터(Big data), #디지털 트윈(Digital Twin), #자율주행택시 배차시스템(Autonomous Taxi Assignment System)"
"#이상감지(Anomaly detection), #베어링 상태 모니터링(Bearing health condition monitoring), #회전기기(Rotating machinery), #단일 클래스 서포트 벡터 머신(One-class SVM), #합성곱 오토인코더(Convolutional autoencoder), #생성적 적대 신경망(Generative adversarial network), #아노갠(AnoGAN)"
""
"#정적 족압 분포 분석(Static Plantar Pressure Distribution Analysis), #내측 아치 지수(Arch index), #다층퍼셉트론(Multi Layer Perceptron), #합성곱 신경망(Convolution Neural Network)"
""
""
"#미세먼지, #딥러닝, #인공위성 자료"
"#city-gas, #forecasting demand, #LSTM, #ARIMA, #time-series, #acceptance"
""
""
"#Deep Learning, #Electrochemical machining, #Hole machining, #Electrode gap, #Applied Current"
"#AR(증강현실), #Deep Learning (딥러닝), #Immersion(몰입감), #Learning Services Applications(학습서비스 어플리케이션) Object Detection (개체탐지), #Image Segmentation (이미지 분할), #Convergence Service (융합서비스)"
"#텍스트 마이닝, #딥러닝, #감성 분석, #문서 분류"
"#BIM, #IFC, #시멘틱 추론, #딥러닝"
"#교량, #SHM, #케이블 손상, #딥러닝"
""
""
""
""
""
"#Bolted joints, #Clamping force, #Vibration"
"#Electro Chemical Machining, #Deep Learning, #Electrolyte, #pH, #Turbidity, #Temperature, #Conductivity"
"#Data Analysis, #Deep Learning, #ARIMA, #Prophet"
""
""
"#적대적 생성 신경망, #뇌파, #감정 인식, #건물 평가, #Generative Adversarial Networks, #Electroencephalography(EEG), #Affection Recognition, #Building Evaluation"
"#retinopathy of prematurity, #deep learning, #smartphone funduscopy"
"#Authentication, #Deep learning, #RF Fingerprinting"
"#Parkinsons’s Disease(파킨슨병), #Signal Processing(신호처리), #Deep Learning(딥러닝)"
""
"#golf swing analysis, #sequence image regression, #deep learning"
""
""
""
